GRIDCODE
13937
13938
13939
14236
14237
14238
14239
14536
14537
14538
14539
14508
14509
14510
14511
14512
14808
14809
14810
14811
14812
15108
15109
15110
15111
15112
13341
13342
13343
13344
13640
13641
13642
13643
13941
10032
10033
9432
9433
9731
9732
9733
16025
16026
16027
16325
16326
16327
16625
16626
16627
17514
17515
17516
17814
17815
17816
18114
18115
18116
10325
10326
10327
10328
10625
10626
10627
10628
10925
10926
10927
11535
11536
11834
11835
11836
12134
12135
12136
16608
16609
16610
16908
16909
16910
17208
17209
17210
11522
11523
11524
11525
11822
11823
11824
11825
11830
11831
11832
12130
12131
12132
12431
12432
16023
16024
16323
16324
16623
16624
10029
10030
10031
10329
10330
9729
9730
13029
13030
13031
13032
13329
13330
13331
13332
13630
13631
11225
11226
11227
11228
11526
11527
11528
11826
11827
12126
12127
12128
12426
12427
12428
12726
12727
15114
15115
15116
15414
15415
15416
13929
13930
13931
14229
14230
14231
14528
14529
14530
14531
15742
15743
15744
16042
16043
16044
16342
16343
16344
10637
10638
10639
10937
10938
10939
10940
11237
11238
11239
11240
11539
11540
12435
12436
12734
12735
12736
13035
13036
10907
10908
11205
11206
11207
11208
11209
11505
11506
11507
11508
11509
11805
11806
11807
11808
11809
11810
11811
12105
12106
12107
12108
12109
12110
12111
12405
12406
12407
12408
12409
12706
12707
12708
17215
17216
17217
17517
8227
8228
8229
8526
8527
8528
8529
8826
8827
8828
8829
13624
13625
13924
13925
13926
14224
14225
14226
14524
14525
12433
12434
12733
12728
12729
13027
13028
13327
13328
11529
11530
11531
11829
10034
10035
10333
10334
10335
9734
14522
14523
14822
14823
14824
15122
15123
15124
7329
7330
7331
7332
7629
7630
7631
7632
15440
15441
15442
15740
15741
18414
18415
18416
18714
18715
18716
15443
15444
17211
17212
17213
17510
17511
17512
17513
11541
11542
11543
11841
11842
11843
13940
14240
14241
14540
14541
17219
17220
17221
17519
17520
17521
16028
16029
16328
16329
16628
16629
16927
16928
16929
16008
16009
16010
16308
16309
16310
13917
13918
13919
13920
14217
14218
14219
14220
14517
14518
14519
14520
13622
13623
13922
13923
14222
14223
15433
15434
15435
15733
15734
15735
16033
16034
16035
17518
17818
17819
17820
18118
18119
18120
10934
11234
11235
11533
11534
11833
11828
13927
14227
14228
14526
14527
14826
13320
13321
13322
13620
13621
13921
16031
16032
16331
16332
16333
16631
16632
16633
13628
13629
13928
16618
16619
16620
16918
16919
16920
16921
17218
13310
13311
13609
13610
13611
13909
13910
13911
12413
12414
12415
12416
12417
12713
12714
12715
12716
12717
13012
13013
13014
13015
13016
13017
13312
13313
13314
13315
13316
13317
16014
16015
16016
16314
16315
16316
16614
16615
16616
12701
13001
13002
13003
13301
13302
13303
13304
13601
13602
13603
13604
13901
13902
13903
13904
14201
14202
14203
14204
14501
14502
14503
14504
19308
19309
19310
19311
19312
19608
19609
19610
19611
19612
19908
19909
19910
19911
19912
15132
15133
15134
15432
15113
15412
15413
10630
10631
10632
10929
10930
10931
10932
10933
11231
11232
17508
17509
17808
17809
17810
17811
17812
18108
18109
18110
18111
18112
15737
16037
16038
16039
15431
15731
15732
16017
16018
16317
16318
16617
10020
10021
10022
10023
10320
10321
10322
10323
9721
9722
9723
17817
18117
8825
9125
9126
9127
9128
9425
9426
9427
9428
9725
9726
9727
9728
14825
14827
15125
15126
15127
14209
14210
14211
11518
11519
11520
11818
11819
11820
11821
12118
12119
12120
12121
12418
12419
12420
12421
13597
13896
13897
14194
14195
14196
14197
14494
14495
14496
14497
14532
14533
14534
14832
14833
14834
14835
14828
14829
15128
13333
13334
13632
13633
13634
13933
16036
16335
16336
16337
16635
16636
16637
11532
12133
15118
15119
15120
15418
15419
15420
16914
16915
16916
17214
16621
16622
16922
16923
11236
11537
11538
11837
15439
15739
16040
13635
13636
13935
13936
14235
10324
10623
10624
10923
10924
15408
15409
15410
15411
10941
11241
11242
15714
15715
15716
12123
12124
12125
12423
12424
12425
13913
13914
13915
14213
14214
14215
14513
14514
14515
10331
10332
11229
11230
18417
18418
18717
18718
16334
16634
14841
14842
15141
15142
12137
12437
12737
13037
16612
16613
16912
16913
13627
19314
19315
19316
19614
19615
19616
17222
17223
12142
12143
12144
12442
12443
12444
12742
12743
12744
11838
11839
11840
12138
12139
12140
14843
14844
15143
15144
18708
18709
18710
18711
18712
19008
19009
19010
19011
19012
15421
15422
15423
15721
15722
15723
16021
16022
12129
18719
18720
19018
19019
19020
19318
19319
19320
14535
14836
14837
14838
14839
7328
7626
7627
7628
7927
7928
7929
14232
14233
14234
16011
16012
16311
16312
16611
14830
15129
15130
15437
15438
15738
13038
13337
13338
13339
13340
13638
13639
14516
14814
14815
14816
12999
13000
13298
13299
13300
13598
13599
13600
13898
13899
13900
14198
14199
14200
14498
14499
14500
15436
15736
19014
19015
19016
13318
13615
13616
13617
13618
13916
15727
15728
15729
10633
10634
10635
10935
